COMPANY	RIC	INDEX WEIGHT	PROPERTY TYPE	CAP RANGE	SIZE	LEGACY KEY
3M Co	MMM.N	0.005589453				
ACE Limited	ACE.N	0.001897146				
AES Corp	AES.N	0.000737296				
AFLAC Inc	AFL.N	0.002454344				
AK Steel Hldg Corp	AKS.N	0.000133882				
AT&T Inc	T.N	0.015805741				
Abbott Laboratories	ABT.N	0.007261141				
Abercrombie & Fitch Company A	ANF.N	0.000349705				
Adobe Systems Inc	ADBE.OQ	0.001408784				
Advanced Micro Devices	AMD.N	0.000394894				
Aetna Inc	AET.N	0.001156223				
Agilent Technologies Inc	A.N	0.001122418				
Air Products & Chemicals Inc	APD.N	0.001696475				
Airgas Inc	ARG.N	0.000484735				
Akamai Technologies Inc	AKAM.OQ	0.000869313				
Alcoa Inc	AA.N	0.001249704				
Allegheny Energy Inc	AYE.N	0.000369824				
Allegheny Technologies Inc	ATI.N	0.000481879				
Allergan Inc	AGN.N	0.002118339				
Allstate Corp	ALL.N	0.001507392				
Altera Corp	ALTR.OQ	0.000897882				
Altria Group Inc	MO.N	0.004925196				
Amazon.com Inc	AMZN.OQ	0.005382623				
Ameren Corp	AEE.N	0.000647842				
American Electric Power	AEP.N	0.001667509				
American Express Co	AXP.N	0.004101353				
American Intl Group Inc	AIG.N	0.000526053				
American Tower Corp A	AMT.N	0.001923537				
Ameriprise Financial Inc	AMP.N	0.001213332				
AmerisourceBergen Corp	ABC.N	0.000823424				
Amgen Inc	AMGN.OQ	0.005079727				
Amphenol Corp A	APH.N	0.000820825				
Anadarko Petroleum Corp	APC.N	0.002919457				
Analog Devices Inc	ADI.N	0.000946401				
Aon Corp	AON.N	0.001210084				
Apache Corp	APA.N	0.003471997				
Apartment Investment & Mgmt	AIV.N	0.000255513				
Apollo Group Inc	APOL.OQ	0.000454881				
Apple Inc.	AAPL.OQ	0.026147246				
Applied Materials Inc	AMAT.OQ	0.001542387				
Archer-Daniels-Midland Co	ADM.N	0.00184306				
Assurant Inc	AIZ.N	0.000394193				
AutoNation Inc	AN.N	0.000138471				
AutoZone Inc	AZO.N	0.000630798				
Autodesk Inc	ADSK.OQ	0.000741766				
Automatic Data Processing	ADP.OQ	0.00203917				
AvalonBay Communities Inc	AVB.N	0.000852554				
Avery Dennison Corp	AVY.N	0.000368867				
Avon Products	AVP.N	0.001144209				
BB&T Corp	BBT.N	0.001467346				
BMC Software Inc	BMC.OQ	0.000752691				
Baker Hughes Inc	BHI.N	0.001963541				
Ball Corp	BLL.N	0.000544149				
Bank of America Corp	BAC.N	0.010572424				
